iter	Passed	Remaining
180	657	2976
181	660	2969
182	663	2961
183	666	2955
184	669	2948
185	672	2940
186	674	2933
187	677	2925
188	680	2919
189	683	2912
190	685	2905
191	688	2898
192	691	2891
193	694	2883
194	696	2876
195	699	2870
196	702	2863
197	705	2856
198	707	2849
199	711	2844
200	713	2837
201	716	2831
202	719	2825
203	722	2819
204	725	2813
205	728	2807
206	731	2801
207	734	2796
208	737	2790
209	740	2783
210	743	2778
211	746	2773
212	749	2769
213	752	2765
214	755	2760
215	758	2754
216	761	2747
217	765	2744
218	768	2739
219	771	2734
220	773	2728
221	776	2722
222	780	2717
223	783	2712
224	785	2707
225	788	2701
226	791	2695
227	794	2690
228	797	2685
229	800	2680
230	803	2674
231	806	2669
232	809	2664
233	812	2659
234	815	2653
235	818	2648
236	820	2642
237	823	2636
238	826	2631
239	829	2627
240	832	2621
241	835	2615
242	837	2609
243	840	2605
244	844	2601
245	847	2596
246	849	2590
247	852	2584
248	855	2580
249	859	2577
250	862	2573
251	865	2568
252	868	2563
253	871	2558
254	874	2554
255	877	2550
256	880	2545
257	883	2540
258	886	2535
259	889	2530
260	892	2526
261	895	2521
262	898	2516
263	900	2511
264	903	2506
265	906	2501
266	909	2496
267	912	2491
268	915	2487
269	918	2482
270	921	2478
271	924	2474
272	927	2469
273	930	2464
274	933	2459
275	935	2454
276	938	2450
277	941	2446
278	944	2441
279	947	2437
280	950	2431
281	953	2427
282	956	2423
283	959	2419
284	962	2414
285	965	2409
286	967	2404
287	971	2400
288	974	2397
289	977	2393
290	980	2389
291	983	2384
292	986	2380
293	989	2376
294	992	2372
295	995	2368
296	998	2364
297	1001	2360
298	1005	2357
299	1008	2352
300	1011	2348
301	1014	2344
302	1017	2340
303	1020	2336
304	1023	2332
305	1026	2327
306	1029	2323
307	1032	2319
308	1035	2314
309	1038	2310
310	1040	2306
311	1043	2301
312	1046	2297
313	1049	2293
314	1052	2288
315	1055	2284
316	1058	2280
317	1061	2275
318	1064	2271
319	1067	2267
320	1070	2263
321	1073	2259
322	1075	2255
323	1078	2250
324	1081	2247
325	1084	2243
326	1087	2238
327	1090	2234
328	1093	2230
329	1096	2226
330	1099	2222
331	1102	2218
332	1105	2214
333	1108	2209
334	1111	2205
335	1114	2201
336	1117	2197
337	1119	2193
338	1122	2189
339	1125	2185
340	1128	2181
341	1131	2177
342	1134	2172
343	1137	2168
344	1140	2164
345	1143	2160
346	1146	2156
347	1149	2152
348	1151	2148
349	1154	2144
350	1157	2140
351	1160	2136
352	1163	2132
353	1166	2127
354	1168	2123
355	1171	2119
356	1174	2115
357	1177	2111
358	1180	2107
359	1183	2103
360	1186	2099
361	1189	2095
362	1191	2091
363	1194	2087
364	1197	2082
365	1200	2079
366	1203	2075
367	1206	2071
368	1209	2067
369	1211	2063
370	1214	2059
371	1217	2055
372	1220	2051
373	1223	2047
374	1225	2043
375	1228	2038
376	1231	2034
377	1234	2030
378	1237	2027
379	1239	2023
380	1242	2019
381	1245	2014
382	1248	2010
383	1251	2006
384	1253	2002
385	1256	1998
386	1259	1994
387	1262	1990
388	1265	1987
389	1268	1983
390	1271	1979
391	1274	1976
392	1277	1972
393	1279	1968
394	1282	1964
395	1285	1960
396	1288	1956
397	1291	1953
398	1295	1950
399	1298	1947
400	1301	1944
401	1304	1940
402	1307	1936
403	1310	1932
404	1313	1929
405	1316	1925
406	1319	1922
407	1323	1919
408	1327	1917
409	1330	1914
410	1333	1910
411	1337	1908
412	1340	1905
413	1343	1902
414	1346	1898
415	1350	1895
416	1353	1892
417	1356	1888
418	1359	1885
419	1362	1881
420	1365	1878
421	1369	1875
422	1372	1871
423	1375	1868
424	1378	1864
425	1381	1861
426	1384	1858
427	1388	1855
428	1391	1851
429	1394	1848
430	1397	1845
431	1401	1842
432	1404	1839
433	1407	1835
434	1410	1832
435	1413	1829
436	1417	1825
437	1420	1822
438	1423	1819
439	1426	1815
440	1429	1812
441	1433	1809
442	1436	1805
443	1439	1802
444	1442	1799
445	1445	1796
446	1449	1792
447	1452	1789
448	1455	1786
449	1458	1783
450	1462	1779
451	1465	1776
452	1468	1773
453	1472	1770
454	1475	1767
455	1478	1764
456	1481	1760
457	1485	1757
458	1488	1754
459	1491	1750
460	1494	1747
461	1498	1744
462	1501	1741
463	1504	1737
464	1507	1734
465	1510	1731
466	1513	1727
467	1517	1724
468	1520	1721
469	1523	1718
470	1526	1714
471	1530	1711
472	1533	1708
473	1536	1705
474	1540	1702
475	1543	1699
476	1546	1695
477	1550	1692
478	1553	1689
479	1556	1686
480	1559	1682
481	1563	1679
482	1566	1676
483	1569	1673
484	1573	1670
485	1576	1667
486	1579	1664
487	1583	1661
488	1586	1657
489	1590	1654
490	1593	1651
491	1596	1648
492	1600	1645
493	1603	1642
494	1607	1639
495	1610	1636
496	1613	1633
497	1617	1630
498	1620	1627
499	1624	1624
500	1627	1620
501	1630	1617
502	1634	1614
503	1637	1611
504	1640	1608
505	1644	1605
506	1647	1601
507	1650	1598
508	1654	1595
509	1657	1592
510	1660	1589
511	1664	1586
512	1667	1583
513	1671	1580
514	1674	1576
515	1677	1573
516	1681	1570
517	1684	1567
518	1688	1564
519	1691	1561
520	1694	1558
521	1698	1555
522	1701	1551
523	1704	1548
524	1708	1545
525	1712	1542
526	1715	1540
527	1719	1537
528	1722	1533
529	1726	1530
530	1729	1527
531	1733	1524
532	1736	1521
533	1740	1518
534	1743	1515
535	1746	1512
536	1750	1509
537	1753	1505
538	1757	1502
539	1760	1499
540	1764	1496
541	1767	1493
542	1771	1490
543	1774	1487
544	1778	1484
545	1781	1481
546	1785	1478
547	1788	1475
548	1791	1472
549	1795	1468
550	1798	1465
551	1802	1462
552	1806	1459
553	1809	1456
554	1813	1453
555	1816	1450
556	1820	1447
557	1823	1444
558	1827	1441
559	1831	1438
560	1834	1435
561	1838	1432
562	1841	1429
563	1845	1426
564	1849	1423
565	1852	1420
566	1856	1417
567	1859	1414
568	1863	1411
569	1866	1408
570	1868	1404
571	1872	1401
572	1876	1398
573	1879	1394
574	1882	1391
575	1885	1388
576	1889	1385
577	1892	1382
578	1896	1378
579	1900	1375
580	1903	1372
581	1906	1369
582	1910	1366
583	1913	1363
584	1917	1360
585	1921	1357
586	1925	1354
587	1928	1351
588	1932	1348
589	1935	1345
590	1939	1342
591	1943	1339
592	1946	1336
593	1950	1333
594	1953	1329
595	1957	1326
596	1961	1323
597	1964	1320
598	1968	1317
599	1972	1314
600	1975	1311
601	1979	1308
602	1983	1305
603	1987	1302
604	1990	1299
605	1994	1296
606	1998	1293
607	2001	1290
608	2005	1287
609	2007	1283
610	2011	1280
611	2014	1277
612	2018	1274
613	2021	1270
614	2025	1267
615	2028	1264
616	2032	1261
617	2035	1258
618	2039	1255
619	2043	1252
620	2046	1249
621	2050	1245
622	2054	1243
623	2057	1239
624	2061	1236
625	2064	1233
626	2068	1230
627	2072	1227
628	2075	1224
629	2078	1220
630	2082	1217
631	2086	1214
632	2089	1211
633	2093	1208
634	2096	1205
635	2100	1202
636	2104	1198
637	2107	1195
638	2111	1192
639	2114	1189
640	2118	1186
641	2121	1183
642	2125	1179
643	2128	1176
644	2132	1173
645	2136	1170
646	2139	1167
647	2142	1164
648	2147	1161
649	2150	1157
650	2153	1154
651	2157	1151
652	2161	1148
653	2164	1145
654	2168	1142
655	2173	1139
656	2178	1137
657	2184	1135
658	2188	1132
659	2193	1130
660	2197	1127
661	2201	1124
662	2206	1121
663	2210	1118
664	2215	1116
665	2221	1114
666	2226	1111
667	2233	1110
668	2241	1108
669	2246	1106
670	2256	1106
671	2262	1104
672	2274	1105
673	2282	1103
674	2287	1101
675	2298	1101
676	2303	1099
677	2308	1096
678	2312	1093
679	2317	1090
680	2321	1087
681	2327	1085
682	2332	1082
683	2337	1079
684	2343	1077
685	2347	1074
686	2351	1071
687	2356	1068
688	2361	1065
689	2366	1063
690	2373	1061
691	2381	1060
692	2386	1057
693	2393	1055
694	2397	1052
695	2402	1049
696	2407	1046
697	2411	1043
698	2415	1040
699	2420	1037
700	2424	1034
701	2428	1031
702	2434	1028
703	2439	1025
704	2445	1023
705	2450	1020
706	2457	1018
707	2465	1016
708	2470	1013
709	2475	1011
710	2480	1008
711	2487	1006
712	2492	1003
713	2496	1000
714	2502	997
715	2508	994
716	2515	992
717	2522	990
718	2526	987
719	2531	984
720	2538	982
721	2544	979
722	2550	977
723	2557	974
724	2562	971
725	2568	969
726	2572	966
727	2578	963
728	2585	961
729	2590	958
730	2595	955
731	2606	954
732	2611	951
733	2618	948
734	2624	946
735	2629	943
736	2634	940
737	2639	937
738	2645	934
739	2650	931
740	2654	927
741	2703	939
742	2723	942
743	2746	944
744	2797	957
745	2836	965
746	2857	967
747	2941	990
748	2995	1003
749	3020	1006
750	3028	1004
751	3038	1001
752	3044	998
753	3051	995
754	3057	992
755	3065	989
756	3071	986
757	3078	982
758	3084	979
759	3091	976
760	3098	973
761	3104	969
762	3109	965
763	3114	961
764	3119	958
765	3126	954
766	3131	951
767	3137	947
768	3142	944
769	3149	940
770	3161	939
771	3169	935
772	3181	934
773	3187	930
774	3194	927
775	3200	923
776	3208	920
777	3213	916
778	3225	915
779	3231	911
780	3238	908
781	3244	904
782	3249	900
783	3255	896
784	3276	897
785	3289	895
786	3302	893
787	3308	890
788	3313	886
789	3321	883
790	3340	882
791	3356	881
792	3369	879
793	3378	876
794	3390	874
795	3405	872
796	3412	869
797	3470	878
798	3483	876
799	3500	875
800	3517	873
801	3528	871
802	3539	868
803	3557	867
804	3593	870
805	3599	866
806	3604	862
807	3610	857
808	3617	853
809	3622	849
810	3628	845
811	3633	841
812	3639	837
813	3644	832
814	3650	828
815	3656	824
816	3661	820
817	3667	815
818	3672	811
819	3678	807
820	3683	803
821	3687	798
822	3693	794
823	3698	789
824	3702	785
825	3707	781
826	3712	776
827	3717	772
828	3722	767
829	3727	763
830	3732	759
831	3736	754
832	3744	750
833	3750	746
834	3755	742
835	3760	737
836	3765	733
837	3769	728
838	3775	724
839	3781	720
840	3786	715
841	3791	711
842	3796	707
843	3800	702
844	3805	698
845	3810	693
846	3814	689
847	3819	684
848	3824	680
849	3828	675
850	3833	671
851	3838	666
852	3842	662
853	3847	657
854	3851	653
855	3856	648
856	3860	644
857	3865	639
858	3869	635
859	3874	630
860	3878	626
861	3883	621
862	3918	622
863	3928	618
864	3939	614
865	3958	612
866	3979	610
867	3998	608
868	4027	607
869	4037	603
870	4050	599
871	4153	609
872	4167	606
873	4181	602
874	4190	598
875	4204	595
876	4218	591
877	4232	588
878	4245	584
879	4256	580
880	4270	576
881	4281	572
882	4293	568
883	4321	567
884	4332	563
885	4345	559
886	4358	555
887	4368	550
888	4381	547
889	4391	542
890	4403	538
891	4413	534
892	4424	530
893	4433	525
894	4444	521
895	4456	517
896	4464	512
897	4470	507
898	4477	503
899	4484	498
900	4493	493
901	4503	489
902	4591	493
903	4602	488
904	4608	483
905	4617	479
906	4625	474
907	4631	469
908	4637	464
909	4644	459
910	4650	454
911	4658	449
912	4665	444
913	4673	439
914	4682	434
915	4688	429
916	4693	424
917	4699	419
918	4704	414
919	4710	409
920	4717	404
921	4722	399
922	4726	394
923	4737	389
924	4743	384
925	4749	379
926	4754	374
927	4759	369
928	4773	364
929	4778	359
930	4784	354
931	4788	349
932	4793	344
933	4799	339
934	4806	334
935	4811	329
936	4817	323
937	4821	318
938	4826	313
939	4831	308
940	4836	303
941	4841	298
942	4845	292
943	4850	287
944	4855	282
945	4859	277
946	4863	272
947	4868	267
948	4872	261
949	4877	256
950	4881	251
951	4885	246
952	4890	241
953	4894	236
954	4898	230
955	4903	225
956	4908	220
957	4913	215
958	4919	210
959	4926	205
960	4931	200
961	4938	195
962	4943	189
963	4948	184
964	4953	179
965	4959	174
966	4965	169
967	4972	164
968	4976	159
969	4981	154
970	4986	148
971	4991	143
972	4996	138
973	5000	133
974	5006	128
975	5013	123
976	5018	118
977	5023	112
978	5028	107
979	5033	102
980	5038	97
981	5043	92
982	5048	87
983	5052	82
984	5057	77
985	5062	71
986	5067	66
987	5072	61
988	5077	56
989	5082	51
990	5087	46
991	5092	41
992	5096	35
993	5102	30
994	5107	25
995	5112	20
996	5117	15
997	5122	10
998	5126	5
999	5132	0
